タイトル;登録者;登録日時;作成キャンバスのコンテンツ
□ttc0021　勤怠管理システムとクラウド化;倉川 清志;25/08/2014 10:00;"

公開日：2014/08/25


 
 
 
キズナジャパン（高崎社長）は勤怠管理システムに特化した開発・販売会社である。
高崎社長は神戸でモスバーガーを３店舗経営していたが、阪神淡路震災時、全てを失ってしまった。
その後、自社で作成していた勤怠管理システム（basic製）を持って東京にきた。
日本的な痒いところに手が届くシステムに創り上げ、今や他に類を見ない勤怠管理システムに育ち、Googleのappsとして取り上げられる程に成長した。
その特徴的な機能の例をあげると
　・スーパーマーケットの時給精算で、野菜室と鮮魚室のどちらの売り場にいたかで時給を変えられる。
　・週の開始日（通常は日or月）を自由に設定できる。（飲食業万歳！）
　・アルバイトに支払う給料日を任意（に個別）に設定できる。（毎週でも可！）
などなど、多彩だ。
この勤怠管理システム、当初はＰＣにインストールして使用していたが顧客が増えるにつれメンテナンスに限界を感じ、ＡＳＰサービスで提供する方針とした。
その時から、１システム＆複数クライアントにこだわり続けた。
当時、開発を依頼したベンダーにはセキュリティを担保できないとことごとく断られたそうだ。
このユーザｉｄとパスワードのみで管理するという考え方、ノウハウは、今、生きていて、勤怠管理システム以外にも応用している。
　
クラウドと称して、クラウド上のサーバーを物理的にクライアント毎にわけていた他のメーカーは撤退したそうだ。
今、クライントで動いているシステムはすべてクラウド化を余儀なくされるだろう。
（さて、Chromebookの普及はどうなることやら）
クラウド化はttcの既存のお客さまにとっても避けられない課題だ。
先ずは、その手の話に興味をもち、お客さまと雑談レベルからでも話していかないと、世の動向に遅れてしまう。
"
□ttc0022　浸透率と総参加率;倉川 清志;27/08/2014 10:00;"

公開日：2014/09/08


 
 
 
ｔｔｃでは友の会、プロジェクト紹介、月例会、ＭＶＰなど、いろいろなイベントを行なっています。
そのイベントが効果的に実施されているかを定量的に計測するには参加者数（参加率）で把握するのが一般的でしょう。
しかし、参加者数（参加率）だけでは、そのイベントが全体に対して　どのくらい浸透しているのかが分かりません。
そこで、「浸透率」と「総参加率」という指標を創作しました。
この数字で、そのイベントの盛り上がりを定量化して評価していきます。
定義
　浸透率　：対象者の中で、一度以上参加したことがある人の割合
　総参加率：対象者が参加した累計／（対象者×開催回数）
　（対象者：開催時点で参加対象としている人数。その時点の退職者などは分母分子から場外する）
図１を見て欲しい。
 

 
 
・ＡパターンとＢパターンの各回の参加者数は同じです。
　３回を通してみると、このイベントに参加してきた人はＡは２名（ａ，ｂ）でＢでは４名(a,b,c,d）となります。
　この場合、Ａの浸透率は２／４で50%、Ｂの浸透率は４／４で100%となり、Ｂの方が「このイベントが浸透している」と考えます。
・Ｂの浸透率は、回を追う毎に今までに参加していない人が参加したため、浸透率が増加しています。(50%→75%→100%）
・ＢとＣの３回目終了時点での浸透率は同じ(100%）だが、参加の総数をみるとＢが６名(2+2+2)、Ｃが８名(3+2+3)で、Ｃの方が旺盛に参加していることがわかる。
　その人数を全体の参加可能な回数（12←4名×3回）で除したものを総参加率と呼ぶことにします。
この「浸透率」、「総参加率」をもちいてイベント等の定量的な評価をしていきます。
"
□ttc0023　情報処理試験　秋の陣;倉川 清志;1/09/2014 10:00;"

公開日：2014/09/01


 
 
 
情報処理試験の「基本」と「応用」の試験対策は、教育部の新井君と植松君との二手に分かれて行なうと教育部より聞きました。
いいですね。　とてもいいです。
それぞれで勉強会をひらく・・・
これを聞くと、歴史好きのゲーム脳がとてもワクワクする。
そうです、どうしても
　新井軍　vs　植松軍　と見えてしまう。
 
□新井軍（ａ軍）
　生井、平山、寺尾、相沢、近藤優、坂元、片桐剛
□植松軍（ｕ軍）
　石井啓、篠田、石元、大田、郡谷、佐藤幹
 
さて、「ａｕ秋の陣」。　どちらに軍配があがるか
メンバーで勝敗が決しない場合、大将戦にもつれ込むか！
個人申込みの猛者を取り込み、軍勢を拡大することも考えられるし、基本・応用以外の人の援軍も期待できるかも！
受験する、皆の衆
　力を出し切ってほしい。
"
□ttc0024　教えない教育;倉川 清志;1/09/2014 10:00;"

公開日：2014/09/01


 
 
 
宮本算数教室では入塾するのに無試験、先着順ながら、難関中学校への進学率が高い。
そこに入塾した小学３年生には、ひたすらこのようなパズルを解かせる。
（１～４の数字を入れて、縦横同じ数字が出てこないようにし、左上の演算を行なうと、その左の数値が解になる）
 
 

 
 
そして、子供には問題をやらせるだけで解答を与えない。
子供はなぜ勉強が嫌いになるのか、その諸悪の根源は「親」。
子供は自分で成長したがっているのに、子供が頭をつかって考えているときに、「なんだ分からないのか」と言って教えてしまう。
子供に解答を教えても全く意味は無い。
「親」はひとときの薄っぺらな優越感に浸れるだろうが・・
自分で「解けた！」という達成感を得られれば、どんどん勉強は好きになる。
「親」は、そのような環境をつくり、出来たことを認めてあげればよい。
《参考》http://www.calcudoku.org/ja/
 
 

 
"
□ttc0025　防災の日に思う　（避難場所はどこ！）;倉川 清志;2/09/2014 10:00;"

公開日：2014/09/01


 
 
 
昨日、９月１日は防災の日だった。
なぜ、防災の日かって！？
それは、関東大震災のあった日だからだ。
台風が多いこのシーズン、地震以外にも注意するところは多い。
昨日、朝のＧＬＭ（グループリーダーミーティング）にて
「ｔｔｃ（須田町）の避難場所って知ってますか？」
「知っている人は、知らない人に説明できますか？」
と一方的に問うた。
・・・
神保町に会社があったときには、避難場所の ”錦華公園（御茶ノ水小学校）” は、日常使っている場所だったので、「錦華公園へ！」というだけで、皆、行けた。
今（須田町）の避難場所は、日常に存在していない。
やはり防災というものは、非日常であっては使い物にならないということか・・
・・・
話を戻して、「今の避難場所」。
私はというと・・
　避難場所は知っていて、行けるが、
　さて、通勤で秋葉原駅を使っている人に説明できる自信はなかった。
あなたは行けますか？　説明できますか？
須田町以外が通常勤務の人は、そこでの避難場所、行けますか？
事後、調べると避難場所と避難所も違うそうな・・
ｔｔｃでは防災の仕事もさせて頂いています。
自身の仕事についても、自身の避難場所についても、興味をもたないと、命にかかわりますね。
"
□ttc0026　Ｂ会議室　ご開帳！;倉川 清志;2/09/2014 10:00;"

公開日：2014/09/08


 
 
 
６月４日よりクローズしていました ”Ｂ会議室” が、本日（９／２）をもって３ヶ月ぶりに開放となりました。
ご迷惑をおかけしました。　（仕事は舞台を変えて、まだまだこれからですが・・）
　今後は、ＡとＢ会議室を合せた利用が可能です。
特にイベント関係（月例会、プロジェクト紹介などなど）には、迷惑をおかけしました。
３年前のオフィス移転の際、「２つ繋がって広くなる会議室が欲しい！」ということで、業者の設計や消防法と対峙し、こだわり通した会議室および会議室ホールのレイアウトです。
（その名残が ”回転する欄間” 、”出入りしないＡ会議室のドア” および ”会議室ホールと執務室間の上部が空いた間仕切り” です）
今後は、大いに活用してください。
"
□ttc0027　勤怠管理システムと 、 「 提案 」;倉川 清志;3/09/2014 10:00;"

公開日：2014/09/16


先週、メキキクリエイツ（ttcがGeniusNoteの中国版を作成した）の出口社長、粕川専務と私で
キズナジャパンの高崎社長から進化したDAIM（勤怠管理システム）の話を聞いていた。
 
「DAIMも進化しています。勤怠管理だけでなく、派遣労働者の管理もできるし、社内SNSも出来る。
提案 も管理できるんです。」 と高崎社長。
 
「えっ、 提案 も！」（ひたすら提案を待っている私の琴線に触れた！）
 
高崎社長は続けて、
「そりゃ、 提案 なんて出ないですよ。経営者は 提案 を求めているのに、
　社員はまず、 提案 しない。」　　（『たしかに・・』）
「そこで、DAIMの中で 提案 するとポイントがたまる仕組をつくった。ポイントは賞与とか何かで評価する。」
「勤怠管理じゃなくて、これだけでもニーズがあるんです。」
 
なるほど、【提案は出ない】が前提か・・
今まで出してくた人はよっぽど希有な人だったのだ。　多謝多謝
どうすれば「 提案 」が湯水のごとく出てくるか！　誰か「提案」してくれないかな
 
　
 
　　DAIMは確かにすごい機能をもっている
　　（http://www.kizuna.co.jp/）
"
□ttc0028　自分の範囲はどこまで　（ゴミ編）;倉川 清志;4/09/2014 10:00;"

公開日：2014/09/08


 
 
 
知り合いの女性から聞いた話だが
彼女の友達（ひとりっ子、３０代）は実家に居て、ゴミは部屋のゴミ箱に捨てていた。
ここまでだと、『普通でしょっ』で終わってしまう、ところが、彼女はゴミはそれでキレイになると思っていたそうだ。
つまり、ゴミ箱に入れたあとのゴミにまで意識はもってなかった。
もちろん母親が部屋の掃除のときにゴミ箱の中もキレイにしていた訳だが・・
小さい頃からそれが当たり前だと思っていると疑問をもたなくなるらしい。
端から見ると、信じられない笑い話に聞こえるが、似たようなこと、我々も、いっぱいやっていると思いますよ。
このゴミ箱の例にしても・・
机の脇のゴミ箱にいれたら、もう自分の範囲から消したと思っている人いませんか？
夢の島（ゴミの埋め立て地）までを範囲に含めよう！という話ではないが、せめて廊下のゴミ箱に入るまでは、ゴミといえど、「あなたの所有物」として範囲に含めて欲しいものだ。
汁物も紙くずもピンや缶もいっしょっくたのゴミ箱は見たくない。
捨ててくれる人のことも含んで考えて欲しい。
”自分の範囲とは”を書こうとしたが、ゴミの話になってしまった。
でも、これを単なるゴミの話として聞くだけではもったいない。
この具体的なゴミの話から抽象を抜き出すと、その抽象から別の具体が出てきます。
これはSEのスキルであり・・
　おっと、長くなりそうなので、別の機会に　to be continued.
"
□ttc0029　自分の範囲はどこまで　（地域編）;倉川 清志;5/09/2014 10:00;"

公開日：2014/09/08


 
 
 
私が小さかった頃（あったんですよ、私にも小さい時が）読んだ、織田信長の伝記の一部がまだ印象に残っている。
それは、信長の幼少期に近隣のガキ共と野山を駆け巡って地形を把握していた、といった件（くだり）だ。
後付けかもしれないが、そのようにして信長は近隣の人々や地勢を自分のものとして政治や合戦に活かした・・と
ttcは神保町から秋葉原に移転した、つまり転封（国替え）したことになる。
国替えということは、城の移転だけでは済まない、地域のお付き合いも変わる。
郵便局も、コンビニも、食事処も、呑み処も・・　そう避難場所も。
地の利を得ないと仕事（生活）は回らない。
こんなときどうします？
　お客さまがいらして、夕方打合せが終わり『では食事にでも』となった・・
　道に迷ったお客さまからの電話で、「万世橋にいるんですが？」・・
　しまった、これから打合せなのにお金がない、近いＡＴＭってどこ！・・
　Ｙシャツを汚した！これじゃ打合せにいけない・・
というとき、まごまごしたくない。
これらの情報力というか地域を活かす力は、通勤時のチョットした気づきや、昼食時の何気ない会話などから、じわりじわり強化されていく。
いろいろな地域の力を借りて、ｔｔｃは仕事をしています。
どんな力を地域から引き出せるかは、どこまで地域を自分の範囲として含んでいるか次第で決まる。
（仕事のスキルにも同じことが言えそうですね・・）
"
□ttc0030　３０号・・だけど・・コメントなし;倉川 清志;8/09/2014 10:00;"

公開日：2014/09/08


 
 
 
本ブログを書いて３ヶ月弱、３０号を迎えた。
なかなか良いペースだ。
どのくらい読まれているのだろうか・・まったく掴んでない。
”足あと”をみる方法もあるのだろうが、（たぶん）作り込まれていない。
（・・ので、安心して読んで欲しい）
なかなか一人ひとりの皆さんとお話しが出来ないので、私の考え方を知ってもらうにはとても有効なツールだと思っている。
さて、バージョンアップしてコメント機能を付け加えてみたが・・
コメント無し・・・
さすがに、コメントを書くには勇気がいるので仕方がないですかね。
カイゼン提案メールに乗せてコメントをくれてもいいのですよ。
影なる読者の為に・・というか、書きたいことを書いているので良しとしよう。
いつか、「ttc社長ブログ検定」でも抜き打ちにやってみるか　(^_^)v　
指導担当には、『ttcブログを話題にしてほしい』と伝えているので.次回の打合せ時に聞いてみることにしよう。
現状、私と総務以外の読者がブログに投稿することはできない。
次の改訂時には皆さんが投稿できるようにしたいと思います。
この機能をつくりたいという人、私（倉川）までご一報ください。
"
