タイトル;登録者;登録日時;作成キャンバスのコンテンツ
□ttc1577　CMの中の金田正一氏;倉川 清志;14/10/2019 10:00;"

公開日：2019/10/11


 
金田さんがお亡くなりになりました。
ご冥福をお祈りさせていただきます。
　
金田さんが野球選手だったことを知っている世代も少なくなってきていると思います・・
そんな金田さんは全日警のTVCMの中に存在していました。そしてそのCMは2005年から使っているとのこと・・
（あの『勝ったよ』のピッチャー少年も立派な青年になっていることでしょう）
　　
TVCMはその方が亡くなったら放映できないのでしょうかね・・
「よっしゃ！」が聞けなくなるのは残念です。
　　　　　
「ピアノ売ってちょう～だい」のタケモトピアノの財津一郎さん♪
こちらは2004年からの放送とのこと。
この財津さんの存在感、いいですよね。見られなくなるとすると「キビシ～ッ!」
"
□ttc1578　銀杏と格闘;倉川 清志;14/10/2019 10:00;"

公開日：2019/11/05


 
家の隣は自衛隊の基地です。
そこで勤務している友人からビニール袋いっぱいのギンナンをいただきました。
基地内にはイチョウの木が多々ありギンナンが大量に落ちているとのことです♪
　　
頂いたのは、そう、あの果肉の付いたギンナンです。
それはそれは強烈なにおいがして、肌に付くとかぶれてしまうという代物です。
　
「さぁやるぞ！」と覚悟しないとなかなか手が出せないので２週間ほど玄関先にビニール袋のまま放置していましたが、さすがにいつかはやらないとと思い、台風一過の朝、皮むきの格闘を始めました。（風があったので匂いで周りに迷惑がかからない）
　
格闘後の写真です。551ケのギンナンとその残骸（皮）。匂いが写らないのが残念！　
 
 

 
"
□ttc1579　日経ビジネスを定期購読;倉川 清志;16/10/2019 10:00;"

公開日：2019/09/13


 
日経ビジネスを定期購読しています。
定期購読のきっかけは、役員になったときに今まで読んでなかった雑誌を読んでみようと思ったことでした。
巻頭の「有訓無訓」の小冊子プレゼント！にそそられたのかも・・
そして、とてもハマりました。
　　　
それからずっと購読をつづけてきた理由の一つが「書店では売ってない」・・でした。
なので、書店売りを始めてしまった時、一気に興味がなくなり購読をやめました。
　　　　　
そして今はまた購読を再開しています。
週刊なのですぐにたまってしまいますが、そこにあると読まねば！という気になり、まとめ読みしています。電子版も読めますが、やはり紙媒体になってしまいますね。
　　
ttcの書架にも日経〇〇などの雑誌があります、何か１つでも読むことが習慣となると面白いと思います。
日経コンピュータの「動かないコンピュータ」などはSEにとって宝の山だと思います。
"
□ttc1580　全国大学ビブリオバトル　首都決戦;倉川 清志;16/10/2019 10:00;"

公開日：2019/09/19


 
大学生によるビブリオバトルが開催されるという記事を見つけましたた。
　
その記事には２年前の高校生大会で優勝した渕本さんが載っていました。
あっ、あの「横浜駅SF」の彼女か！　以前、本ブログでも扱いましたね。
　
　　　　□ttc0863　高校生チャンプ本は「横浜駅SF」
　　
毎年、年明けの高校生の決勝大会は観に行っていますが、さて大学生となるとどうでしょうね。
決戦は12月22日（日）。観戦申し込みはここからどうぞ
　
 
 

 
"
□ttc1581　北方水滸伝　６巻めに突入;倉川 清志;16/10/2019 10:00;"

公開日：2019/11/18


 
大昔、読み始めて１巻で挫折した北方健三による水滸伝。
1週間と空けずに２人の経営者から「水滸伝はすばらしい」という話を聞き、ttcが協賛する「一生懸命塾」でも入塾した学生は北方水滸伝を読むことが必須ということなので、再挑戦することにした。
　　
そして5巻まで読め（れ）ばあとは面白くなると聞いていた5巻を読み終えた。
　　　まさかここで楊志が死ぬとは！
　　　これじゃぁ「楊令（楊志の子）伝」も読みたくなる
・・確かに、だんだん面白くなってきた！
　　
内容もさることながら、巻頭の今までの内容を１頁でまとめた簡潔な要約、ならびに巻末のその巻にまつわる解説は見事！
　　
北方健三の水滸伝・・本家の水滸伝からすると超訳的なものだと思うが・・確かに引き込まれる。
　　
吉川英治の「新・水滸伝」も読みたくなる。（あと19巻も残っているのに・・）
"
□ttc1582　「動かないコンピュータ」失敗の傾向推移;倉川 清志;16/10/2019 10:00;"

公開日：2019/10/14


 
9月号の日経コンピュータでは創刊以来の1176件の「動かないコンピュータ」を総まとめしています。
　
このコラム・・ファンです。
以前、東京ガスさんも本欄を賑わしことがあり、それを機に一気に体制を変更し、今に生きていますね（さすがです）
　　
失敗を失敗と認め、公にすることで不退転の決意で改革に臨むことは重要です。
　　
開発失敗の原因では要件定義の不備が増えているとのこと。
①システムが複雑になったからなのか
②要件をまとめる力、それを理解する力が弱まったのか
　
①を理由にしていては改善の余地がない。
②も、コミュニケーション力、ひいては人間力だと一般的なことにしては埒（らち）が明かない。
　　
本を読む、会話する、そしてOUTPUTする
そのあたりから・・ですかね。
　
 

 
 
 

 
"
□ttc1583　中高生の読解力が危機的;倉川 清志;16/10/2019 10:00;"

公開日：2019/11/30


 
中高生の3分の1は簡単な文章が読めない。
参照）書籍『AI vs.教科書が読めない子どもたち』（東洋経済新報社）
　
[問1]
次の文を読みなさい。
仏教は東南アジア、東アジアに、キリスト教はヨーロッパ、南北アメリカ、オセアニアに、イスラム教は北アフリカ、西アジア、中央アジア、東南アジアにおもに広がっている。
この文脈において、以下の文中の空欄にあてはまる最も適当なものを選択肢のうちから1つ選びなさい。
オセアニアに広がっているのは、（　　）である。
①ヒンドゥー教
②キリスト教
③イスラム教
④仏教
　　正解率：中学生62%、高校生72%。つまり中学生（進学校）の⅓が不正解。
　　
[問2]
次の文を読みなさい。
Alexは男性にも女性にも使われる名前で、女性の名Alexandraの愛称であるが、男性の名Alexanderの愛称でもある。
この文脈において、以下の文中の空欄にあてはまる最も適当なものを選択肢のうちから1つ選びなさい。
Alexandraの愛称は（　　）である。
①Alex
②Alexander
③男性
④女性
　　正解率：中学生38%、高校生65%
　
これは、短文を読んでSVOを区別する、出口汪先生の【論理エンジン】が必要だぁ♪
"
□ttc1584　情報処理試験は次の日曜日（10/20）;倉川 清志;17/10/2019 10:00;"

公開日：2019/10/17


 
この試験、相当昔からやってますね。
私も基本情報（当時、二種）は入社した年の10月に同期5名と一緒に受けました。
当時はCもjavaもなく、fortranで受験しました。
　
もちろん試験勉強はしました。問題が広範囲なので仕事だけしてても合格できないですよね。結果、一般教養的な知識がついたかなぁって感じでした。
　　　
今でも覚えているのがPERT（パート）。
これは試験問題にあったことから仕事のスケジューリングで使うようになり、最強ツールでした。クリティカルパスなる単語も気に入りました。（欲しくはないけど）
　　
というわけで、35年以上も前のことでしが、インパクトのある試験でした。
　　
さぁ、受験者諸氏！　気楽に合格してきてください♪
"
□ttc1585　陽明門の逆さ柱と百段階段;倉川 清志;18/10/2019 10:00;"

公開日：2019/10/11


 
社員旅行で日光東照宮に行きました。小学校の修学旅行依頼です(*^^)v
　
そこで有名なのが陽明門の逆さ柱。
この「完成させない」という思想はどこからきているのだろう。
　　
目黒雅叙園の百段階段も実際には99段でとめている。
百段完成だぁ～！　という達成感を味わうことなくそこでとめる。
　　　
荒井由美さんも「14番目の月」の中で『♪満月になる前の月が好きと』歌っていた。
もしかして、数人で会食したときのお皿の料理の最後をとらない「遠慮のかたまり」も関係したりして・・
　　
武道、茶道などの修練だと達成は無い。常に道を究め続けること「道」に生きることだ。・・も関係するのか！
　　
さてさて、欧米にもこのような思想はあるのだろうか！？
 
 

 
左が逆さ柱
"
□ttc1586　ラグビーいつの間に強くなったの!?;倉川 清志;18/10/2019 10:00;"

公開日：2019/10/28


 
ワールドカップ前の(2019/9/22)ランキングで日本は世界9位。
えっ、そんなに強かったんだ！（と、思ったのは私だけ？？）
　
そして予選リーグ！
勝手なイメージだと対戦国の方が強そうだよねぇ・・そこで、まさかの４戦全勝！
　
　　日本　30-10　ロシア　（20位）
　　日本　19-12　アイルランド（2位）
　　日本　38-19　サモア（16位）
　　日本　28-21　スコットランド（8位）
　
ランキングから考え、開催国アドバンテージも加味するとアイルランド戦以外は勝っても「さもありなん」的ですが、イメージって恐ろしいですね。
　
にわかラグビーファンも増えていると思います♪
　　
明後日(10/20日)は南アフリカ戦・・楽しみです♪
4年前の南アフリカ戦、ドローを狙わずあくまでトライにこだわり逆転した映像はまだ目に浮かびます。
さて【世紀の番狂わせ】だったのか、実力なのか！　今まさに証明される。
"
□ttc1587　tBCモニター：一生懸命塾;倉川 清志;20/10/2019 10:00;"

公開日：2019/10/04


 
一生懸命塾がtBCをモニター利用を10月より開始しました！
未来食つぶつぶさん、タカハマライフアートさんについで３社目です。
今までは2カ月でしたが、こんどは半年間です。
　　
一生懸命塾は「国づくりのための人づくり」を志としている「株式会社もとい」が運営する塾で大学生の就活支援や人財育成をしています。
ttcはその塾を協賛しており、「社長語ろう会」という場で学生にむけて２時間の話を5回ほどさせていただいています。
　（ここから来春入社する社員がくるかも(^O^)／）
　　　　
その中の業務紹介でtBCの話をしたり、朝会(KBM)で私のtBCのプレゼンを聞いていたただいているうちに、tBCの思想、活用方法に興味をもたれ、「使いたい！」ということになりました。
　　　
この半年のモニターでフィードバックをもらいながらtBCの商品化につなげていきます♪
"
□ttc1588　ラグビー４強ならず（にわかファン！？）;倉川 清志;21/10/2019 10:00;"

公開日：2019/11/11


 
日本中がラグビーで熱狂していますね。
日本は予選リーグを突破し初のベスト８！になりましたが、南アフリカ強し！でしたね。
　　
とブログで書いていますが、実はにわかファンとも言えないぐらいルール（特にファール）は知りません。
　　
そして、各選手は本大会で初めて知ったぐらいで、出身チームとかは全く知りません。
（どんなチームがあるのかもわかりません）
日頃、ラグビーってやってるの？？　というくらいです。
　　　　
今考えると、昔、新日鉄釜石の松尾とか神戸製鋼の平尾の時代の方が日本的にはラグビーの知名度は高かったのではないだろうか？
今でも覚えているぐらいだから・・
　　　　
お祭ムードの一時的な盛り上がりで終わらないためには、サッカーのようなプロリーグ化も必要かも。
"
□ttc1589　一生懸命塾（tBCモニター）恐るべし！;倉川 清志;21/10/2019 10:00;"

公開日：2019/10/21


 
10月1日から使用開始した一生懸命塾のtBCの使いっぷりをウォッチしてみました。
（モニター期間中なので、tBCユーザーサポートチームも使用者に登録しています）
　　
そうしたらなんと2683通のメッセージが飛びかっていた！(10/20時点）
使用開始してから20日なのに！
つまり１日130通飛び交っている！　使っている人数は64名です！
　　
ttcで夏賞与のtBCの運用時(6カ月）は登録メンバーが128名（つまり倍）でメッセージの総数が2501通
　　　
半分の使用者で９分の１の使用期間のうちに抜かされてしまったぁ！
　　
一生懸命塾・・恐るべし！
"
□ttc1590　高校生が会社訪問に来た!;倉川 清志;21/10/2019 10:00;"

公開日：2019/11/11


 
10月18日(金)夕方5時過ぎ、高校３年生の清水綜真（そうま）君がふいに会社を訪れた。
英語でのビジネスマッチングに単身乗り込んできていた高校生で9月15日の世界青少年プレゼン大会にも見に来ていました。
　　
「今度会社に遊びにきたら」と誘っていたら早速やってきました。
すばらしい行動力ですね。
丁度、入社前研修だったのでナイスタイミングでした！
　　　　
大学へ進学はせずビジネススクールに通い起業する！とのことです。
　　
シッカリしている
10月22日（火）の朝会（KBM城東藩）にも誘ったら、もう既に参加することになっていました。さすが！
　　
大人の（見知らぬ）世界へ単身で飛び込む勇気と行動力、見習うべき大人は多い。
　
 
 

 
遠藤君の隣です。
"
□ttc1591　危険な歩きイヤホン;倉川 清志;21/10/2019 10:00;"

公開日：2019/11/05


 
ウォークマンが発売になったときの衝撃／感動はすさまじかった。
　
当時、私は大学生でした。
流行りものが好きな先輩がさっそくウォークマンを手に入れて、こともあろうに運転中に聞いていて事故ったという話をきいて、アホだなぁと思ったことを思い出しました。
　
今はこれを歩きながらやっているってことですよね。
　　　　
歩きスマホで視覚、歩きイヤホンで聴覚を奪われた人がどうどうと道を歩いているという状況・・これは恐ろしい。
"
□ttc1592　正倉院の世界;倉川 清志;22/10/2019 10:00;"

公開日：2019/10/11


 
奈良時代から正倉院にはシルクロードから伝えられた宝物が納められています。
　
そこにお宝があることは知っていたはずだが、現代まで盗まれていません。
　　
さて、それはなぜなのか！
　
落とした財布が出てくる文化（消えつつある？）にも関係するのか？
　　　　
いつも奈良でしかやっていなかった正倉院展が今、東京国立博物館（上野）で開催されている。
もう、これは必見ですね。
"
□ttc1593　イベント開催、匿名で質問ＯＫ！（sli.do）;倉川 清志;22/10/2019 10:00;"

公開日：2019/10/22


 
Blockchain-HUBのイベント(10/18)での質疑応答にsli.doを使用していました。
　　
会場にアクセスするQRコードとイベントコードが貼ってあり、セミナー中でも質問等が記載できます。
質問によりセミナーの内容に一言加えるなど、インタラクティブな利用もできますね。
　　　　
また、匿名ＯＫと言っても使い方で社員No.やニックネームを書くことで別の用途（アンケート等）にも利用できると思います。
　　
セキュリティが気になりますが、使えるシチュエーションもあると思います。
まずはベーシックプラン（0円）で、使ってみない？　https://www.sli.do/
"
□ttc1594　意外な人から『ttcHP見えません！』;倉川 清志;23/10/2019 10:00;"

公開日：2019/10/23


 
意外な人からメールがきました。（2019/10/21（月）12:32）
その文頭に
 
ご無沙汰しております、根本欽章です。
最初に緊急連絡です、今、ttcのHPが見れない状態になっています。
 
　
えっ見えないんだと！と確認し関係者に対応してもらいました。
　　
しかし、ここで驚いたのは差出人の根本君
元ttc社員、道路管理を長年やっていました（角口君の先輩にあたるのかなぁ）
もう、何（十）年も前に退社しています。
退社後何度か会いましたが、ttcのホームページを見ていてくれたんですね。
　　
翌朝(10/22火祝：7時)開催した朝会でも開口一番『ホームページ見えませんね』！
　　　
思ったより見ている人がいるのかも！！！　嬉しいような・・
"
□ttc1595　10月木鶏会『情熱にまさる能力なし』総評;倉川 清志;23/10/2019 10:00;"

公開日：2019/11/18


 
テーマ：「情熱にまさる能力なし」
　　
情熱がある／なしは他人からは推し量れない。
つまりそれは絶対的なものでなく、自分基準であり、自分しかわからないものだからだ。
　　　　
そして大きな情熱に動かされているとき、他人からみれば情熱の塊のように見えても、当人は自分に情熱があるとは思っていないだろう。情熱というと熱量を感じるがイチローのそれはプロ意識であり、イチロー自身が情熱から行動はしていないだろう。
　　　
実のところ、今月号の推薦記事は内容とテーマを無理に合わせた感があり読みづらい箇所があった。
どんな記事からも何かを得る！　これこそ木鶏会のテーマの１つの「美点凝視」であり、その点からも読み甲斐があった！
　
　
　　
　
　　　
arrows‥班のリーダ講評で言っていたフリータイムのバトルも気になるところだ♪
それも木鶏会の お・た・の・し・み の一つですね　　(^_-)-☆
"
□ttc1596　10月木鶏会「泯然衆人矣」;倉川 清志;23/10/2019 10:00;"

公開日：2019/11/30


 
「泯然衆人矣」は王安石の｢傷仲永｣の中に出てくる文章で木鶏会の際、李宇恒くんが白板に書いた！　
 

 
私はこの文言は知らなかった。
　　
知らないと悔しいから、今月の致知のテーマ「情熱にまさる能力なし」とどうかかわるのか調べてみた。
　
テーマの観点から、この｢傷仲永（仲永を傷む）｣を超訳すると・・
 
天から天分（才能）を得たものでも学習しないと凡人になる。
もとから凡人であるなら、なおのこと学習に勤めねば凡人にしかありえない
ってことかな？
　
そうですね、情熱を持とうが持つまいが、研鑽せねば！
王安石の｢傷仲永｣の訳
"
□ttc1597　マナーからの「瓜田李下」;倉川 清志;24/10/2019 10:00;"

公開日：2019/10/14


 
セキュリティチェックのようにマナーも扱って行こう！という大盛り上がり（？）の中、マナーに関して、本ブログでは今まで何を書いてきたかなぁと検索してみた。
　　
もちろん「マナー」で検索するとかなりのブログが引っかかる。・・見てみて(^_-)-☆
　　
そして、ふとマナーといえば「瓜田李下」だと思い出し、本ブログでも書いているハズと「瓜田李下」で検索した。
　
あった！　　　　□ttc0011　「瓜田李下」
　　　
なんと、５年前の発刊から11号目で書いていた。
　
　
マナーにとても通じると思うんだけどなぁ
"
□ttc1598　セブンイレブンの 鈴木敏文氏;倉川 清志;26/10/2019 10:00;"

公開日：2019/11/19


 
登壇された時には「年を取られたなぁ」という感じでした。
ご本人も声がでなくなったとおっしゃっていましたが、その話の内容はぐぐっと引き込まれるものでした。
　
先ず、出版のトーハンに就職し、主流の営業ではなく研究所に配属された。17時から心理学と統計学の勉強をさせれた。後にこれがやくにったった。出版から電波の時代になるであろうと友人と起業を考え資金集めの際、紹介されたヨーカ堂に転職。当時ヨーカ堂は5店舗しかなかった。
　
アメリカに視察に行ったさいトイレで立ち寄った小さな店がセブンイレブン、どうってことない店だったが知らべて見ると4000店舗を有し高収益をあげている。
　
アメリカからセブンイレブンをもってくるとき、おにぎりそしておでんを販売しようとしたとき、ことごとく反対された。
セブン銀行もしかり。
　　
売り手視点から買い手視点へ時代は変化していた。
お客さまが便利だろうと思うことをやってきただけ。
・・・
人生を通して必要なときに必要なことが起きてきて、それに真摯に取り組んできた方で、社会を切り開いてきた自信と誇りを感じました。
"
□ttc1599　お客さまとスリッパで挨拶はしない;倉川 清志;28/10/2019 10:00;"

公開日：2019/10/28


 
トイレに行く際、エレベータホールでお客さまとお会いすることがままある。
その時、スリッパだと恥ずかしいですね。
この感覚、私だけのものではなく、お客さま（tginet）でも同じらしい。
　　　
これは会議室に行くときも同様ですね、お客さまとの会議のときは尚更ですね。
　　　　　　　
執務室内のスリッパは良いと思いますが、ドアの外の身だしなみには(特に）注意したいものです。
　　
#マナー
"
□ttc1600　TOEIC is not the only English!;倉川 清志;28/10/2019 10:00;"

公開日：2019/11/20


 
When the first digit of the blog number is 0, I will write the blog in English.
It ’s more exciting and fun.
　　
　　　Challenge!
　
google teacher. I’m counting on you.
stay tuned.
　
　
　
　
————————————————–
□ttc1590　TOEICだけが英語じゃない！
　　
ブログ番号の一桁目が0の時、私はブログを英語で書くことにする。
そのほうがエキサイティングで楽しいでしょ
　
　　　チャレンジだ！
　
google先生。頼りにしてます
乞うご期待
"
□ttc1601　訪問：BSWさん;倉川 清志;1/11/2019 10:00;"

公開日：2019/10/21


 
ブリヂストンソフトウエアさんの社長さんが峯尾様から余地様にが代わられたので、昨日(10/31)、角口君、星野君とご挨拶に行ってきました。
　　
そこでブリヂストンさんとttcの関係をお話ししました。
あらためて紐解くと1988年からのいろいろな歴史があって技術、信頼をつなぎ、今があるんだなぁと思います。
　　
余地社長は今までの会長職に加え社長も兼任されるとのこと（想像もできません）
打合せが終わった後、入り口ですれ違った時、とてもにこやかでフランクな方だと思いました。
　　　　　
山元くんも元気でニコニコしていましたよ♪　
（朝8時出勤の方が好きみたいでした）(#^^#)
"
□ttc1602　7’th全国志ビジネスプレゼン大会(11/2);倉川 清志;1/11/2019 10:00;"

公開日：2019/11/01


 
全国志ビジネスプレゼンテーション大会が明日(11/2)、開催されます。
今年で7回目です。
　　
私が毎月行っている朝会(KBM)の集大成の年いちな大会です。
今年は環境庁の後援があり優勝者は【環境大臣賞】が送られます。
　　
6月に京都と東京で予選が開かれ、そこで勝ち残った８名が登壇します。
7分のプレゼンを行い３名が選出され、決勝へ！
決勝は5分間のフリープレゼン。さてさて優勝は誰の手に。
　　
ttcは大会を協賛しているので協賛枠で観戦できます。
11月2日(土)12-16:30　代々木オリンピックセンター
希望者は山川君に言ってください。
、　　
 
 

 
"
□ttc1603　首里城が焼け落ちた;倉川 清志;2/11/2019 10:00;"

公開日：2019/12/24


 
私は尋ねたことがないが、あれほどの名所が焼け落ちたことに衝撃だ。
　
見てきた人もいるのではと思います。
復元した建物だからスプリンクラーを設置していない・・ということにも驚きあった。
　　
今回のことで二千円札を思い出した人も多いと思います。（守礼門ですが・・）
　　
ここはやはり今発行しているが流通していない二千円札の通貨を廃止し（使えなくなる）、家庭に眠っている二千円札を集め、首里城を復元すれば二千円札にとってもありがたいのではないだろうか　(^_-)-☆
"
□ttc1604　志ビジネスプレゼン大会　優勝は寺垣さん（梅ちゃん）;倉川 清志;4/11/2019 10:00;"

公開日：2019/09/24


 
第7回志ビジネスプレゼンテーション大会の優勝/環境大臣賞は和歌山県で無農薬な梅を栽培する寺垣みち子さん（寺垣農園）でした。　おめでとうございます！
　　
彼女とは13年前メキキのイベントで知り合いました。彼女はそこで無農薬で梅を栽培することに決め、それから何度も挫折し「やめます」と神社へ報告に行くと、そこでの出会いがあり今日まで無農薬をやめる訳にいかなかったそうです。
　
6月の予選の時にはまったくのダークホースでしたが、その予選を通ってからの4か月の間にプレゼンと一緒にビジネスを磨いてきて、本会の時には下馬評でも優勝候補となっていました。
実際、プレゼンを見て私も驚きました。
　　
何も知らない、何もできないということを正直に認める彼女の素直さ、機会があればまずやってみる挑戦者魂には驚きしかありません。
来年2月に行われるグローバルフォーラム（英語による志ビジネスプレゼン）大会にも出場するとのこと・・次は世界か！　
　
ttcからも応援に来てくれた皆さん、ありがとう！　どうでした？
 
 

 
 
 

 
"
□ttc1605　梅干しをお墓に供える;倉川 清志;5/11/2019 10:00;"

公開日：2019/11/25


 
梅農家に生まれるも梅嫌いだった梅ちゃん、戦争で亡くなった叔父の墓を建てて欲しいという祖母の願いにこたえ、東南アジアの戦地を巡った。
　　　
そこで戦争から生き残った方が墓に梅干しを供えているのを見た。
「なぜ梅干しを供えるん？」
「もう歩けなく立ったとき梅干しを思い出すと唾液がでて、頑張れた・・」
大嫌いだった梅干しが大好きになった・・
　　
今、梅干しと言うと「甘～い」という子供たちがいる。
つまり「梅干し」を思い出しても唾液は出ないのだろうか・・
　　　
無農薬の梅干しは仁（じん：種の中実、天神様とも言う）まで食べられる。
昔～し、田舎で食べた記憶があります、あまりおいしくなかったような。
（これ、農薬漬けだとたいへんに危険になるそうです）
　　　
やはり梅干しを思い浮かべると唾液がでてきます。今は昔のことになるかも・・
"
□ttc1606　学習はとても安い設備投資だ;倉川 清志;7/11/2019 10:00;"

公開日：2019/11/18


 
よくサラリーマンが自己資金を貯めて、それを元手に独立し、お蕎麦屋さんになった・・みたいな話を聞きます。
　
「店を出す」、「独立する」というのはとても夢があり心揺さぶる響きですね。
仕事をしながら、お蕎麦の修行をして、資金を貯め、勇気をもって独立！　
素晴らしい反面、リスクも多いし、まさに清水の舞台から「えいやっ」て感じですね。
　　　　
それに引き換え、勤め人は学習という自分への投資ができます。
これにはリスクは伴いません。
　
お金がない若い時には時間を投資し、年を重ねるほどにお金を投資する。
モノへの投資ではなく自分への投資なので、破損などのリスクもない。揮発性メモリを有する経年劣化は致し方が無い・・
　　
自分自身への投資、それが「学び」だ。
"
□ttc1607　ttc総会・・はじめて物語;倉川 清志;7/11/2019 10:00;"

公開日：2019/11/07


 
毎年、この時期に行っているttc総会。今は定期イベントとして定着していますが、その昔、本イベントはありませんでした。
（全員ミーティングはやっていました・・大昔は不明）
　　　　
さて、いつから外の会場を借りて丸一日行うようになったのか、其処らじゅうを紐解けば分かると思いますが、そのパワーはありません・・
　　
当初、やろうとしたときにはいろいろな意見/抵抗が出ました。
それでも、「やる」と決め、続けています。
定例になると開催することへのパワーよりも、毎回新しく創り出す（創作）パワーの方が大事になってきます。
その為、総会では毎回テーマを決め、そのテーマに沿った総会につくり込みます。
　
昨年のテーマは【UP!】
今年のテーマは【変化と挑戦】です。
　
イベントやミーティングがまったりしてきたとき、やることを考えるのではなく、何をやるか！なぜやるか！の創作をするとパワーが出ます。
　
ブログを「総会」で検索してください。昨年の様子(360度カメラ)が見えます！
"
□ttc1608　社会人も学んで良い;倉川 清志;7/11/2019 10:00;"

公開日：2019/11/07


 
学生の頃、学ぶために年間100万とか150万円を親は子供にかけています。
　
世間的にあたりまえみたいになっていますが、冷静に考えると、結構な投資です。
さて、その子供は就職すると、どのくらい「（自分が）学ぶ」為にお金を使っているのだろう。
　　　
これだけ投資してもらったのだから、就職した後も、親が使っていた十分の一の金額ぐらい（月１万円）でも自分に投資しつづけても良いと思う。
　
社会勉強と称した学習に投資することも時には必要です(#^^#) が、本を読む、セミナーに行くみたいな自らを高める知的な投資を習慣づけたいものですね。
"
□ttc1609　健康で病院に行かない！はリスク？;倉川 清志;7/11/2019 10:00;"

公開日：2019/11/07


 
89歳の母は日常生活も一人でこなし、病院にも10年以上行ってなかったと思います。
さすがに最近は杖を突いての移動がつらそうですが・・
その母が健康診断をすることになりました。
　　　
ちょっと行ってサックっと終わると高を括（くく）っていましたが、予約してビックリ。
A:「今の予約ですと、12月末頃になります」（今って11頭だよ）
B:「かかりつけでないと、既往症は書けないんです」
C:「かかりつけで無い方は、ちょっと・・」
　　　
日頃（つまり健康なうち）から「かかりつけ医」をもっていないとかなり面倒だ！
　　　
さて、下手に病院に行くとボロが出てしまうし・・
とはいえ、地元にかかりつけ医を探しておかねば・・
"
□ttc1610　ttc53’th General meeting （11/8金）;倉川 清志;7/11/2019 10:00;"

公開日：2019/11/30


 
ttc53’th general meeting will be held tomorrow.
The theme is [Change and Challenge]
　
Change is not a risk
Risk is not changing
　
ttc will change
ttc heads towards “Challenge! 2025”
　
What are you challenging?
What will you challenge?
　
Find your “challenge” at the General meeting!
　　
————————————————–
□ttc1610　ttc53’th 総会
　　
ttc53’th総会が、明日開催されます。
テーマは【変化と挑戦】
　
変化はリスクではありません
変化しないことがリスクです
　
ttcは変化していきます
ttcは「チャレンジ!2025」に向かって進みます
　
あなたは何にチャレンジしていますか？
あなたは何にチャレンジしますか？
　
総会であなたの「挑戦」を見つけてください！
"
□ttc1611　即位パレードつつがなく;倉川 清志;11/11/2019 10:00;"

公開日：2019/10/26


 
台風で延期になっていたご即位のパレードが本日(11/10)行われました。
　　
観に行った方もいると思います。
私は残念ががら都合がつかず行けませんでした。
TVでは特等席の画像で見ていましたが、やはり空気感は現地ですよね。　　
　　　
そして、今週末は大嘗（だいじょう）祭ですね。
通常は新嘗（にいなめ）祭と言いますが、天皇が代わる年のみ大嘗祭というそうです。
そして、この大嘗祭をへて真に天皇となられるとのことです。
　　　　　
歴史的な瞬間に立ち会えていることは、有難きことです。
"
□ttc1612　このサービス、何が違うのか？;倉川 清志;11/11/2019 10:00;"

公開日：2019/11/11


 
眼鏡の鼻パッドがとれたので車通りに面した新進の大手メガネチェーンのお店に行った。
　
「ネジが壊れているので修理できませんね」
そうですか・・と退店
　
車での帰り道、考えた。
『でしたら、フレームを取り換えましょうか』と言われれば即。換えたのに・・
　　
戻ってこちらから言うこともないと思い別の店へ。こちらも全国展開している古いお店。
「少しお待ちください」と奥に持っていき、しばし待つと「はい、どうぞ」と修理が終わっていた。
　
「おいくらですか？」
「鼻パッドの交換ではお金はいただいていません」
なんと！　(@_@)
　　　
これで「ありがとうございます」と帰れないのが昭和の性か！
シニアグラスの１つでも買おうと思い、品物をみて、結局鯖江を買ってしまった。
　　
このサービス、何が違うのか？
"
□ttc1613　１１１１　ポッキーor立ち飲み;倉川 清志;11/11/2019 10:00;"

公開日：2020/01/05


 
11月11日ほど、〇〇の日と結びついている日付はないですね。
　
本ブログでも何度も取り上げています。（検索「11月11日」）
　　
アラビア数字で考えずに縦に書くと11は十一で士（or土）
11月11日はさしずめ「圭」ってことか・・ つまり「圭」の日
さてさて、これって、何の日になるのかな・・
ヨコのモノをタテにしてみるのも面白い
　　　
吉田松陰は自らを二十一回猛士と呼んで力づけた。
吉田の漢字を二十一回（十一口　十口）と置き換えた。
漢字を分解するのもまた面白い！
おっと、11月11日と離れてしまった・・私にとってはやはり”立ち飲み”かな
"
□ttc1614　会釈、敬礼、最敬礼;倉川 清志;11/11/2019 10:00;"

公開日：2019/11/11


 
第168回WBA(2019/11/11)で権藤さんによりマナーが扱われました。
そこで礼をやってみましたが、できないですねぇ。
　
　会釈　　　　　15度
　敬礼（普通礼）30度
　最敬礼　　　　45度
　　
そして、「語先後礼」。言葉を発してから礼をする。
　
「おはようございます」→ 会釈（３秒）
手はズボン線（男性）、前（女性）
背中をまっすぐ！　猫背にはツライ！
　　
これだけでもできたら、人生変わりそうだ！
　　
 
 

 
 
参考）
https://co-medical.mynavi.jp/contents/therapistplus/lifestyle/business_manner/1424/
意外と知られていない「お辞儀」の基本動作と角度！
"
